,date,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid
103,2021-04-14,0.859872611464968,0.129101344984151,0.149741653418124
104,2021-04-15,0.840469554936238,0.125734730385893,0.149211484027497
105,2021-04-16,0.828876114304757,0.126207881690614,0.152024291497976
106,2021-04-17,0.800099042588313,0.123532839423957,0.154037782852398
107,2021-04-18,0.787542170657451,0.123402489626556,0.15629598486441
108,2021-04-19,0.79854572573879,0.140329411764706,0.17524682651622
109,2021-04-20,0.825441300084057,0.141846647175328,0.171317917758287
110,2021-04-21,0.839732888146912,0.124368474233749,0.147714771477148
111,2021-04-22,0.834179638724715,0.119825342178185,0.143388263665595
112,2021-04-23,0.824813895781638,0.115134323377273,0.139351711602545
113,2021-04-24,0.802026241488125,0.115262187971184,0.143333333333333
114,2021-04-25,0.78426521523998,0.112876393278989,0.143415768336504
115,2021-04-26,0.791870071348104,0.132821387940842,0.166984505363528
116,2021-04-27,0.806839186691312,0.125606569615528,0.155069124423963
117,2021-04-28,0.826470343565427,0.110682218679198,0.133502024291498
118,2021-04-29,0.817971014492754,0.108178097067914,0.131833452102209
119,2021-04-30,0.820093069636031,0.105280804694049,0.128006522625357
120,2021-05-01,0.799866577718479,0.10085800807537,0.125694517244994
121,2021-05-02,0.785803862553298,0.097916842371595,0.124197689345314
122,2021-05-03,0.787380101561031,0.111765264457316,0.141483351364347
123,2021-05-04,0.810510594604686,0.113111509096051,0.139194988980397
124,2021-05-05,0.823005164084624,0.097294572340783,0.117922606924644
125,2021-05-06,0.818965517241379,0.091555183946488,0.111529843145243
126,2021-05-07,0.813399503722084,0.091523444018021,0.112271006038277
127,2021-05-08,0.784410866154735,0.0889481136004,0.113111628892184
128,2021-05-09,0.77698081734779,0.087918559650008,0.112802245250432
129,2021-05-10,0.768755268333802,0.098174595668211,0.127299484915379
130,2021-05-11,0.791783642148606,0.091759591759592,0.11554021894336
131,2021-05-12,0.815552753257671,0.084294436906377,0.103037213641547
132,2021-05-13,0.806873428331936,0.078379978016403,0.096885451505017
133,2021-05-14,0.81386738471895,0.074017485782192,0.090701060952777
134,2021-05-15,0.788312014045648,0.070759888673358,0.089502880307233
135,2021-05-16,0.773806527393238,0.072027084214981,0.092822862129145
136,2021-05-17,0.76029260058145,0.078321810777536,0.102681897193941
137,2021-05-18,0.789122675183167,0.078068677670271,0.098586487781505
138,2021-05-19,0.808337527260527,0.066170248773058,0.081560283687943
139,2021-05-20,0.811751812510538,0.064041503657085,0.078642297650131
140,2021-05-21,0.798605862097926,0.061594509870372,0.076890534108937
141,2021-05-22,0.787643484132343,0.060206080218002,0.076185344827586
142,2021-05-23,0.774402558061259,0.055947024365396,0.071974661424203
143,2021-05-24,0.774313501144165,0.06279495328903,0.080763037284776
144,2021-05-25,0.787829884184545,0.063668616358232,0.080582524271845
145,2021-05-26,0.803637901861252,0.054716175842936,0.067859411391065
146,2021-05-27,0.806143171433407,0.053193306010929,0.06571036810463
147,2021-05-28,0.799830148619958,0.049190161967606,0.061259338313767
148,2021-05-29,0.766280935889856,0.045342197221512,0.058908205071421
149,2021-05-30,0.756754467688659,0.042816853260405,0.056311116106553
150,2021-05-31,0.722096956031567,0.048206490795217,0.066422594142259
151,2021-06-01,0.736525803682152,0.049436253252385,0.066796875
152,2021-06-02,0.782730277095161,0.045827633378933,0.058330612689085
153,2021-06-03,0.795326077786214,0.044096365029369,0.055312333155366
154,2021-06-04,0.798489733582216,0.044349315068493,0.055383299476104
155,2021-06-05,0.768596432177718,0.040584139921888,0.052648970150898
156,2021-06-06,0.772049424797614,0.042476354256234,0.054840142095915
157,2021-06-07,0.766095238095238,0.046272246272246,0.060177655448517
158,2021-06-08,0.785505607388559,0.042067193299705,0.053355866731048
159,2021-06-09,0.799790264790702,0.039506172839506,0.049225359850566
160,2021-06-10,0.80820882994796,0.036745406824147,0.045331105076248
161,2021-06-11,0.810508474576271,0.034364848692084,0.042289080580686
