,vaccination_date,agerange,firstdailydose,firstdailydosecumulative,seconddailydosecumulative,singledailydosecumulative,thirddailydosecumulative,combinedalldosescumulative,fullyvaccinatedcumulative,firstboosterdailydosecumulative,secondboosterdailydosecumulative,seconddailydose,fullyvaccinated,firstboosterdailydose,singledailydose,secondboosterdailydose,thirddailydose
58,2002-04-11 11:00:00,18-49,1.0,31,0,0,0,0,0,0,0,,,,,,
59,2002-04-11 11:00:00,50-64,1.0,14,0,0,0,0,0,0,0,,,,,,
60,2002-04-14 11:00:00,18-49,1.0,32,0,0,0,0,0,0,0,,,,,,
61,2002-06-07 11:00:00,18-49,1.0,33,0,0,0,0,0,0,0,,,,,,
62,2002-08-03 11:00:00,18-49,1.0,34,0,0,0,0,0,0,0,,,,,,
63,2002-09-07 11:00:00,50-64,1.0,15,0,0,0,0,0,0,0,,,,,,
64,2002-09-11 11:00:00,12-17,1.0,12,1,0,0,0,1,0,0,,,,,,
65,2002-09-25 11:00:00,18-49,1.0,35,0,0,0,0,0,0,0,,,,,,
66,2002-10-07 11:00:00,50-64,1.0,16,0,0,0,0,0,0,0,,,,,,
67,2002-11-01 10:00:00,50-64,1.0,17,0,0,0,0,0,0,0,,,,,,
68,2002-11-02 10:00:00,12-17,1.0,13,1,0,0,0,1,0,0,,,,,,
69,2002-11-04 10:00:00,18-49,1.0,36,0,0,0,0,0,0,0,,,,,,
70,2002-11-12 10:00:00,18-49,2.0,38,0,0,0,0,0,0,0,,,,,,
71,2002-12-11 10:00:00,18-49,1.0,39,0,0,0,0,0,0,0,,,,,,
72,2004-01-13 10:00:00,18-49,1.0,40,0,0,0,0,0,0,0,,,,,,
73,2004-06-14 11:00:00,50-64,1.0,18,0,0,0,0,0,0,0,,,,,,
74,2004-06-16 11:00:00,18-49,1.0,41,0,0,0,0,0,0,0,,,,,,
75,2005-04-17 11:00:00,18-49,1.0,42,0,0,0,0,0,0,0,,,,,,
76,2006-03-19 10:00:00,50-64,1.0,19,0,0,0,0,0,0,0,,,,,,
77,2007-05-17 11:00:00,18-49,1.0,43,0,0,0,0,0,0,0,,,,,,
78,2007-09-17 11:00:00,65 and Older,1.0,5,0,0,0,0,0,0,0,,,,,,
79,2010-02-02 10:00:00,50-64,1.0,20,0,0,0,0,0,0,0,,,,,,
80,2010-02-10 10:00:00,50-64,1.0,21,0,0,0,0,0,0,0,,,,,,
81,2010-02-22 10:00:00,18-49,1.0,44,0,0,0,0,0,0,0,,,,,,
82,2010-03-10 10:00:00,65 and Older,1.0,6,0,0,0,0,0,0,0,,,,,,
83,2010-04-22 11:00:00,50-64,1.0,22,0,0,0,0,0,0,0,,,,,,
84,2010-05-03 11:00:00,18-49,1.0,45,0,0,0,0,0,0,0,,,,,,
85,2010-09-08 11:00:00,50-64,1.0,23,0,0,0,0,0,0,0,,,,,,
86,2010-10-13 11:00:00,18-49,1.0,46,0,0,0,0,0,0,0,,,,,,
87,2010-12-01 10:00:00,18-49,1.0,47,0,0,0,0,0,0,0,,,,,,
88,2010-12-10 10:00:00,18-49,1.0,48,0,0,0,0,0,0,0,,,,,,
89,2011-01-10 10:00:00,65 and Older,1.0,7,0,0,0,0,0,0,0,,,,,,
90,2011-01-11 10:00:00,50-64,1.0,24,0,0,0,0,0,0,0,,,,,,
91,2011-01-21 10:00:00,18-49,1.0,49,0,0,0,0,0,0,0,,,,,,
92,2011-01-28 10:00:00,65 and Older,,7,1,0,0,0,1,0,0,1.0,1.0,,,,
93,2011-01-30 10:00:00,50-64,1.0,25,0,0,0,0,0,0,0,,,,,,
94,2011-02-01 10:00:00,50-64,1.0,26,0,0,0,0,0,0,0,,,,,,
95,2011-02-04 10:00:00,18-49,1.0,50,0,0,0,0,0,0,0,,,,,,
96,2011-02-04 10:00:00,50-64,1.0,27,0,0,0,0,0,0,0,,,,,,
97,2011-02-09 10:00:00,18-49,1.0,51,0,0,0,0,0,0,0,,,,,,
98,2011-02-11 10:00:00,50-64,1.0,28,0,0,0,0,0,0,0,,,,,,
99,2011-02-11 10:00:00,65 and Older,3.0,10,1,0,0,0,1,0,0,,,,,,
100,2011-02-24 10:00:00,50-64,1.0,29,0,0,0,0,0,0,0,,,,,,
101,2011-02-25 10:00:00,50-64,1.0,30,0,0,0,0,0,0,0,,,,,,
102,2011-03-11 10:00:00,18-49,1.0,52,0,0,0,0,0,0,0,,,,,,
103,2011-03-11 10:00:00,65 and Older,1.0,11,1,0,0,0,1,0,0,,,,,,
104,2011-03-21 11:00:00,18-49,1.0,53,0,0,0,0,0,0,0,,,,,,
105,2011-03-27 11:00:00,50-64,1.0,31,0,0,0,0,0,0,0,,,,,,
106,2011-03-30 11:00:00,12-17,1.0,14,1,0,0,0,1,0,0,,,,,,
107,2011-04-01 11:00:00,12-17,1.0,15,1,0,0,0,1,0,0,,,,,,
108,2011-04-02 11:00:00,65 and Older,1.0,12,1,0,0,0,1,0,0,,,,,,
109,2011-04-03 11:00:00,65 and Older,1.0,13,1,0,0,0,1,0,0,,,,,,
110,2011-04-11 11:00:00,18-49,1.0,54,0,0,0,0,0,0,0,,,,,,
111,2011-04-13 11:00:00,18-49,1.0,55,0,0,0,0,0,0,0,,,,,,
112,2011-04-16 11:00:00,12-17,1.0,16,1,0,0,0,1,0,0,,,,,,
113,2011-04-22 11:00:00,18-49,1.0,56,0,0,0,0,0,0,0,,,,,,
114,2011-04-22 11:00:00,50-64,1.0,32,0,0,0,0,0,0,0,,,,,,
115,2011-04-23 11:00:00,18-49,1.0,57,0,0,0,0,0,0,0,,,,,,
116,2011-04-26 11:00:00,18-49,1.0,58,0,0,0,0,0,0,0,,,,,,
117,2011-04-27 11:00:00,18-49,1.0,59,0,0,0,0,0,0,0,,,,,,
118,2011-04-28 11:00:00,18-49,1.0,60,0,0,0,0,0,0,0,,,,,,
119,2011-05-02 11:00:00,18-49,1.0,61,0,0,0,0,0,0,0,,,,,,
120,2011-05-05 11:00:00,50-64,1.0,33,0,0,0,0,0,0,0,,,,,,
