,date,tavg,inpatient_beds_utilization,inpatient_bed_covid_utilization,percent_of_inpatients_with_covid,ScaledAvgTemp,ScaledAvgCovid,fullyvaxed,date_year,MD_Population,Percentage MD Population Vaccinated
15,2021-01-16,3.1,0.798173670415152,0.184511612021858,0.230580452411438,-1.0605431516524477,1.8508665707348562,33532,2021,6165000,0.0054390916463909166
16,2021-01-17,2.6,0.78739089907635,0.18868731815848,0.239050303555941,-1.1173482481907588,1.9757423516865666,35039,2021,6165000,0.005683536090835361
17,2021-01-18,1.4,0.780994454366012,0.205910300266059,0.262921620965785,-1.2536804798827057,2.32769061536238,38585,2021,6165000,0.006258718572587186
18,2021-01-19,1.2,0.79448432187382,0.207103981667144,0.25991611743559,-1.2764025184980303,2.283378785782022,44789,2021,6165000,0.007265044606650446
19,2021-01-20,0.5,0.818035153264838,0.186931915623392,0.227938101212882,-1.3559296536516658,1.8119089003060762,50524,2021,6165000,0.00819529602595296
20,2021-01-21,0.4,0.800184936112979,0.177149647737883,0.220940080457336,-1.367290672959328,1.7087331428983157,54968,2021,6165000,0.008916139497161395
21,2021-01-22,1.8,0.814661368056143,0.174094945355191,0.213061650992685,-1.2082364026520567,1.5925770245337358,59106,2021,6165000,0.009587347931873479
22,2021-01-23,-1.2,0.793658782083543,0.169037940379404,0.212543925034608,-1.5490669818819238,1.5849438994373406,61308,2021,6165000,0.009944525547445255
23,2021-01-24,-1.7,0.785125343549596,0.165139157487598,0.209784234138005,-1.605872078420235,1.5442562238195363,63143,2021,6165000,0.010242173560421735
24,2021-01-25,0.1,0.779570396773286,0.181188963686356,0.231776834445118,-1.4013737308823149,1.8685055041970275,72715,2021,6165000,0.011794809407948094
25,2021-01-26,-0.0,0.798438675696012,0.18178360905115,0.2270783847981,-1.412734750189977,1.799233617486899,82387,2021,6165000,0.013363665855636659
26,2021-01-27,2.1,0.812646566164154,0.160987570812548,0.197592361975924,-1.17415334472907,1.364504592825244,96119,2021,6165000,0.015591078669910786
27,2021-01-28,-0.9,0.812671489149414,0.16051040967092,0.196950968273589,-1.514983923958937,1.3550481645940848,106146,2021,6165000,0.017217518248175183
28,2021-01-29,-2.4,0.805368008668834,0.155781854906581,0.192953195038049,-1.6853992135738707,1.2961067444511931,115004,2021,6165000,0.01865433901054339
29,2021-01-30,-2.7,0.782008368200837,0.145923109421208,0.186219538494716,-1.7194822714968576,1.1968286573675688,118057,2021,6165000,0.01914955393349554
30,2021-01-31,-1.5,0.756253147557495,0.143995253835071,0.189980990718998,-1.5831500398049105,1.2522858638763998,119915,2021,6165000,0.01945093268450933
31,2021-02-01,-0.6,0.758577845742139,0.166892153073058,0.219413035192479,-1.4809008660359504,1.6862190553725402,126113,2021,6165000,0.020456285482562855
32,2021-02-02,-0.4,0.77566720486276,0.163898223715795,0.210584752035529,-1.458178827420626,1.5560587095909668,140750,2021,6165000,0.022830494728304947
33,2021-02-03,0.3,0.788466381264165,0.14713111280617,0.185966791644349,-1.3786516922669902,1.1931022683455907,160120,2021,6165000,0.02597242497972425
34,2021-02-04,0.6,0.797418489648814,0.148430227638148,0.185588826579198,-1.3445686343440035,1.187529716729518,176909,2021,6165000,0.028695701540957016
35,2021-02-05,4.8,0.798234552332913,0.146931499872676,0.183426936526438,-0.8674058234221895,1.155655755302775,195801,2021,6165000,0.03176009732360097
36,2021-02-06,2.0,0.782292450464008,0.147729191288199,0.18831378456903,-1.1855143640367323,1.2277053055604645,211031,2021,6165000,0.034230494728304944
